parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.00070915526,1,3.34431,not_evaluated,,0/0
g0,3.2092874e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,38.931478,1,0.5,not_evaluated,,0/0
V0_set,1.02156,1,2.30058,not_evaluated,,0/0
V0_res,0.38320158,1,2.30058,not_evaluated,,0/0
gamma0_set,12.763873,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.77989174,1,0.666667,not_evaluated,,0/0
Ea_res,0.62763586,1,0.666667,not_evaluated,,0/0
F_min_set,1.1820198e+09,1,0.3,not_evaluated,,0/0
F_min_res,1.2449673e+09,1,0.3,not_evaluated,,0/0
Vel0_set,6.9896663,1,0.5,not_evaluated,,0/0
Vel0_res,0.34763509,1,0.5,not_evaluated,,0/0
gap_max_set,1.3948352e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.8438501e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,1.0530834e-09,1,0.214286,not_evaluated,,0/0
gap_ini_res,7.2414485e-11,1,0.5,not_evaluated,,0/0
