parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0065802666,1,3.18743,not_evaluated,,1/1
g0,2.1898108e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,14.727285,1,0.5,not_evaluated,,1/1
V0_set,1.1730937,1,2.19257,not_evaluated,,1/1
V0_res,0.89044922,1,2.19257,not_evaluated,,1/1
gamma0_set,6.9111556,1,0.4,not_evaluated,,1/1
gamma0_res,16.979882,0,0.4,not_evaluated,,1/1
Ea_set,0.12165939,1,1.09791,not_evaluated,,1/1
Ea_res,0.89592679,1,1.06479,not_evaluated,,1/1
F_min_set,1.3681752e+09,1,0.3,not_evaluated,,1/1
F_min_res,1.3433931e+09,1,0.3,not_evaluated,,1/1
Vel0_set,12.019633,1,0.5,not_evaluated,,1/1
Vel0_res,15.836152,1,0.5,not_evaluated,,1/1
gap_max_set,1.6323474e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.031868e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,9.6821832e-10,1,0.214286,not_evaluated,,1/1
gap_ini_res,1.2703123e-10,1,0.5,not_evaluated,,1/1
